Temperature,x1,y1
64.458,0.000,0.0000
64.401,0.001,0.0032
64.345,0.002,0.0064
64.289,0.003,0.0096
64.233,0.004,0.0128
64.124,0.006,0.0190
63.911,0.010,0.0310
62.956,0.030,0.0846
61.802,0.060,0.1492
61.176,0.080,0.1846
60.640,0.100,0.2153
59.600,0.150,0.2772
58.867,0.200,0.3247
58.345,0.250,0.3629
57.974,0.300,0.3951
57.716,0.350,0.4232
57.548,0.400,0.4487
57.457,0.450,0.4726
57.434,0.500,0.4958
57.479,0.550,0.5190
57.596,0.600,0.5431
57.798,0.650,0.5691
58.104,0.700,0.5979
58.545,0.750,0.6311
59.169,0.800,0.6707
60.050,0.850,0.7198
61.305,0.900,0.7837
61.952,0.920,0.8152
62.705,0.940,0.8513
64.626,0.980,0.9419
65.215,0.990,0.9696
65.465,0.994,0.9815
65.594,0.996,0.9875
65.659,0.997,0.9906
65.724,0.998,0.9937
65.791,0.999,0.9968
65.857,1.000,1.0000
